Year of Birth,Gender,Ethnicity,Child's First Name,Count,Rank
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,200,1
2016,MALE,ASIAN AND PACIFIC ISLANDER,Olivia,199,100
2016,FEMALE,BLACK NON HISPANIC,Olivia,198,99
2016,MALE,BLACK NON HISPANIC,Olivia,197,98
2016,FEMALE,HISPANIC,Olivia,196,97
2016,MALE,HISPANIC,Olivia,195,96
2016,FEMALE,WHITE NON HISPANIC,Olivia,194,95
2016,MALE,WHITE NON HISPANIC,Olivia,193,94
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,192,93
2016,MALE,ASIAN AND PACIFIC ISLANDER,Chloe,191,92
2016,FEMALE,BLACK NON HISPANIC,Chloe,190,91
2016,MALE,BLACK NON HISPANIC,Chloe,189,90
2016,FEMALE,HISPANIC,Chloe,188,89
2016,MALE,HISPANIC,Chloe,187,88
2016,FEMALE,WHITE NON HISPANIC,Chloe,186,87
2016,MALE,WHITE NON HISPANIC,Chloe,185,86
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,184,85
2016,MALE,ASIAN AND PACIFIC ISLANDER,Sophia,183,84
2016,FEMALE,BLACK NON HISPANIC,Sophia,182,83
2016,MALE,BLACK NON HISPANIC,Sophia,181,82
2016,FEMALE,HISPANIC,Sophia,180,81
2016,MALE,HISPANIC,Sophia,179,80
2016,FEMALE,WHITE NON HISPANIC,Sophia,178,79
2016,MALE,WHITE NON HISPANIC,Sophia,177,78
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,176,77
2016,MALE,ASIAN AND PACIFIC ISLANDER,Emma,175,76
2016,FEMALE,BLACK NON HISPANIC,Emma,174,75
2016,MALE,BLACK NON HISPANIC,Emma,173,74
2016,FEMALE,HISPANIC,Emma,172,73
2016,MALE,HISPANIC,Emma,171,72
2016,FEMALE,WHITE NON HISPANIC,Emma,170,71
2016,MALE,WHITE NON HISPANIC,Emma,169,70
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,168,69
2016,MALE,ASIAN AND PACIFIC ISLANDER,Emily,167,68
2016,FEMALE,BLACK NON HISPANIC,Emily,166,67
2016,MALE,BLACK NON HISPANIC,Emily,165,66
2016,FEMALE,HISPANIC,Emily,164,65
2016,MALE,HISPANIC,Emily,163,64
2016,FEMALE,WHITE NON HISPANIC,Emily,162,63
2016,MALE,WHITE NON HISPANIC,Emily,161,62
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,160,61
2016,MALE,ASIAN AND PACIFIC ISLANDER,Mia,159,60
2016,FEMALE,BLACK NON HISPANIC,Mia,158,59
2016,MALE,BLACK NON HISPANIC,Mia,157,58
2016,FEMALE,HISPANIC,Mia,156,57
2016,MALE,HISPANIC,Mia,155,56
2016,FEMALE,WHITE NON HISPANIC,Mia,154,55
2016,MALE,WHITE NON HISPANIC,Mia,153,54
